reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
13747,★ Kukri Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.12136596441268921,44
13747,★ Kukri Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.11775538325309753,44
10082,★ Falchion Knife | Lore (Field-Tested),Field-Tested,False,6,3,0.2671523690223694,1106
20487,★ Classic Knife | Slaughter (Factory New),Factory New,False,6,3,0.0651760995388031,59
12560,★ Stiletto Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.5334550142288208,414
7546,★ Kukri Knife | Stained (Battle-Scarred),Battle-Scarred,False,6,3,0.9431697130203247,43
17765,★ Skeleton Knife | Ultraviolet (Battle-Scarred),Battle-Scarred,False,6,3,0.6268576979637146,98
41673,★ Flip Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.02607925795018673,572
8778,★ Bowie Knife | Autotronic (Field-Tested),Field-Tested,False,6,3,0.30857759714126587,1114
128739,★ Butterfly Knife | Slaughter (Minimal Wear),Minimal Wear,False,6,3,0.11369968205690384,59
228199,★ Butterfly Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.022238342091441154,571
5311,★ Paracord Knife | Forest DDPAT (Field-Tested),Field-Tested,False,6,3,0.2894694209098816,5
96277,★ StatTrak™ Talon Knife | Doppler (Factory New),Factory New,True,6,3,0.02676200307905674,854
276850,★ Karambit | Gamma Doppler (Factory New),Factory New,False,6,3,0.03252164646983147,569
29738,★ Classic Knife | Fade (Factory New),Factory New,False,6,3,0.013367733918130398,38
11737,★ Falchion Knife | Autotronic (Minimal Wear),Minimal Wear,False,6,3,0.08307096362113953,1116
7001,★ Falchion Knife | Bright Water (Field-Tested),Field-Tested,False,6,3,0.2658531069755554,579
22797,★ Nomad Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.014340562745928764,409
29519,★ Skeleton Knife,Factory New,False,6,3,0.0,0
6619,★ Huntsman Knife | Boreal Forest (Field-Tested),Field-Tested,False,6,3,0.15125402808189392,77
6979,★ Paracord Knife,Well-Worn,False,6,3,0.3912135660648346,0
7216,★ Paracord Knife | Ultraviolet (Field-Tested),Field-Tested,False,6,3,0.26865893602371216,621
7507,★ Navaja Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.008075890131294727,409
8087,★ Shadow Daggers | Tiger Tooth (Factory New),Factory New,False,6,3,0.03208534047007561,409
8914,★ Bowie Knife | Lore (Field-Tested),Field-Tested,False,6,3,0.36775636672973633,1104
8960,★ Huntsman Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.22743014991283417,411
9582,★ Nomad Knife | Night Stripe (Field-Tested),Field-Tested,False,6,3,0.1974494904279709,735
10335,★ Ursus Knife,Minimal Wear,False,6,3,0.12352326512336731,0
11196,★ Shadow Daggers | Gamma Doppler (Factory New),Factory New,False,6,3,0.0069098579697310925,572
12667,★ Stiletto Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.6301167011260986,414
14388,★ Bowie Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.028645643964409828,409
16329,★ Huntsman Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.011867520399391651,409
17436,★ Paracord Knife | Fade (Factory New),Factory New,False,6,3,0.0331796370446682,38
40202,★ Skeleton Knife | Slaughter (Minimal Wear),Minimal Wear,False,6,3,0.08513063192367554,59
23955,★ Huntsman Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.010806274600327015,569
17163,★ Nomad Knife,Battle-Scarred,False,6,3,0.5797964930534363,0
138990,★ Karambit | Doppler (Factory New),Factory New,False,6,3,0.024566492065787315,420
16663,★ Bayonet | Freehand (Field-Tested),Field-Tested,False,6,3,0.17072570323944092,580
29401,★ Classic Knife | Fade (Factory New),Factory New,False,6,3,0.014835001900792122,38
240548,★ Butterfly Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.010172287933528423,569
85049,★ Talon Knife | Doppler (Factory New),Factory New,False,6,3,0.007919859141111374,852
46046,★ Nomad Knife | Doppler (Factory New),Factory New,False,6,3,0.03194461390376091,421
25098,★ Stiletto Knife | Boreal Forest (Factory New),Factory New,False,6,3,0.0677335262298584,77
21414,★ Bowie Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.03451111540198326,572
5675,★ Kukri Knife | Forest DDPAT (Field-Tested),Field-Tested,False,6,3,0.27381032705307007,5
19443,★ Falchion Knife | Marble Fade (Factory New),Factory New,False,6,3,0.01188101526349783,413
47872,★ Talon Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.13180041313171387,44
636134,★ M9 Bayonet | Doppler (Factory New),Factory New,False,6,3,0.02283007837831974,416
15719,★ StatTrak™ Nomad Knife | Blue Steel (Field-Tested),Field-Tested,True,6,3,0.2959916591644287,42
114525,★ Talon Knife | Doppler (Factory New),Factory New,False,6,3,0.011029011569917202,853
6221,★ Falchion Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.5131565928459167,414
11955,★ Nomad Knife | Stained (Well-Worn),Well-Worn,False,6,3,0.4167315661907196,43
27511,★ Kukri Knife | Fade (Factory New),Factory New,False,6,3,0.024802502244710922,38
16379,★ Bayonet | Freehand (Field-Tested),Field-Tested,False,6,3,0.20485767722129822,580
43944,★ Karambit | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.5780338048934937,414
15978,★ Bayonet | Stained (Field-Tested),Field-Tested,False,6,3,0.18968477845191956,43
63077,★ Butterfly Knife | Freehand (Minimal Wear),Minimal Wear,False,6,3,0.10053057968616486,581
68216,★ Bayonet | Gamma Doppler (Factory New),Factory New,False,6,3,0.03249553591012955,570
20099,★ StatTrak™ Kukri Knife | Slaughter (Factory New),Factory New,True,6,3,0.05080170929431915,59
12608,★ Stiletto Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.5869717597961426,414
6589,★ Falchion Knife | Black Laminate (Field-Tested),Field-Tested,False,6,3,0.26156964898109436,1111
20775,★ StatTrak™ Stiletto Knife,Field-Tested,True,6,3,0.2786787748336792,0
46802,★ M9 Bayonet | Case Hardened (Well-Worn),Well-Worn,False,6,3,0.40486693382263184,44
9383,★ Huntsman Knife | Stained (Well-Worn),Well-Worn,False,6,3,0.44643765687942505,43
72494,★ Karambit | Black Laminate (Minimal Wear),Minimal Wear,False,6,3,0.10793955624103546,566
235958,★ Butterfly Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.024061240255832672,569
21887,★ Bowie Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.009126008488237858,572
25734,★ Bayonet | Autotronic (Battle-Scarred),Battle-Scarred,False,6,3,0.4720918536186218,573
32811,★ Bowie Knife | Doppler (Factory New),Factory New,False,6,3,0.010932873003184795,421
26315,★ Falchion Knife | Fade (Minimal Wear),Minimal Wear,False,6,3,0.07619905471801758,38
10983,★ Skeleton Knife | Safari Mesh (Battle-Scarred),Battle-Scarred,False,6,3,0.7478914856910706,72
69700,★ Bayonet | Gamma Doppler (Factory New),Factory New,False,6,3,0.009436280466616154,570
71121,★ Skeleton Knife | Doppler (Factory New),Factory New,False,6,3,0.024366874247789383,418
14467,★ Survival Knife | Marble Fade (Factory New),Factory New,False,6,3,0.022278862074017525,413
49178,★ Karambit | Ultraviolet (Field-Tested),Field-Tested,False,6,3,0.1653856784105301,98
5999,★ Kukri Knife | Urban Masked (Field-Tested),Field-Tested,False,6,3,0.16528964042663574,143
5784,★ Shadow Daggers | Lore (Field-Tested),Field-Tested,False,6,3,0.3326430320739746,1108
